"COUNTRY_CODE","INDICATOR","UNIT","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","X2023"
"CHL","Real house price indices","Index",100,102.832211127414,108.518649005296,117.380745374231,125.009288296451,126.696239208245,135.916229322854,132.441221605437,NA
"POL","Real house price indices","Index",100,102.559631810459,104.544637759441,109.790861974174,116.699640356257,124.67172852777,129.119098191559,126.696265947074,NA
"BGR","Real house price indices","Index",100,105.242725957175,109.357504544586,113.782790713528,118.279504077793,124.705541941586,127.534283219979,125.33114009649,NA
"ROU","Real house price indices","Index",100,105.218179168985,108.706281899891,110.520511088009,108.464236893411,110.950492744815,110.774399427053,103.922757956024,NA
"HRV","Real house price indices","Index",100,102.01824841365,105.004959303702,109.844954849754,118.365257399235,126.738947850285,132.918853474903,137.168857297647,NA
"CHE","Rent prices","Index",100,100.316689968331,101.383889861611,101.752864824714,102.274239772576,103.141714685829,104.099489590051,105.556089444391,107.271014272968
"GRC","Rent prices","Index",100,97.388142695889,95.2241753581866,92.1640330876973,92.1640330876973,92.1640330876973,92.272970579527,93.4594454905413,97.9294001553471
"POL","Rent prices","Index",100,101.303427532586,104.336202608405,108.367252709181,113.695327842383,119.862677996567,124.599453114986,142.484728562118,158.882253977019
"FRA","Rent prices","Index",100,100.325017730149,100.514169319022,100.24918459315,100.668345614103,101.05667387606,101.915856093191,102.60418687517,104.785030194728
"LUX","Rent prices","Index",100,100.850825331797,102.029940397752,103.317479550235,104.71161780462,105.848258228425,107.306595941929,109.174905201424,111.059064327381
"BEL","Rent prices","Index",100,100.940882570566,102.030457652284,103.080432731033,104.189457814209,106.98293302372,109.153233186492,112.987008474026,119.706458978296
"GBR","Rent prices","Index",100,101.724568857786,102.699325168708,103.174206448388,103.924018995251,105.398650337416,107.148212946763,110.897275681079,117.270682328571
"JPN","Rent prices","Index",100,99.7104021128109,99.4290217053177,99.2883389494385,99.2800643694298,99.3131751025755,99.2138602814944,99.2717897894214,99.3380013252036
"FIN","Rent prices","Index",100,102.291797261748,104.386052131561,106.354475700371,108.492932783609,110.003008400646,110.916404138937,112.020609432017,114.329875068544
"SVK","Rent prices","Index",100,100.246375,100.552675,100.84565,101.421625,102.97645,103.881975,108.1569,113.916650000353
"NLD","Rent prices","Index",100,102.085,103.925,105.955,108.55,111.5075,113.565,115.675,118.524999998766
"CZE","Rent prices","Index",100,101.17500505875,103.358355167918,106.42500532125,110.40000552,113.816655690833,116.533330826666,122.300031115001,131.03333155286
"SVN","Rent prices","Index",100,101.620853209954,106.96337175148,113.627576064745,118.445965334617,115.736768254661,119.925977396715,142.555336825995,160.237130922508
"SWE","Rent prices","Index",100,100.877477521937,101.685002542125,102.64680256617,104.246777606169,105.847377646184,107.163227679081,108.917727722943,113.177652830263
"ISL","Rent prices","Index",100,104.325025,108.327,113.8814,120.374675,124.6049,128.48325,134.625525,145.84834999986
"LVA","Rent prices","Index",100,98.6193099309653,98.2735149136756,102.369872618493,107.120080356004,104.808955240448,106.461155323057,109.586580479329,112.73558062701
"NOR","Rent prices","Index",100,101.925160750922,104.092041685481,105.892191998032,107.834004139346,109.442463445698,110.825903962981,113.209452989325,117.743156553823
"CAN","Rent prices","Index",100,100.661185066119,101.301285130128,102.454810245481,105.254260525426,107.012760701276,108.820435882043,113.891836389183,121.07338710887
"KOR","Rent prices","Index",100,101.863447453414,103.507547412312,104.14759739631,104.04079739898,104.267572393311,105.707322357317,107.666722308332,108.179347295443
"AUT","Rent prices","Index",100,103.082848193641,107.340474151607,111.331500049587,114.639250793831,119.344851852592,121.702277383012,122.716877611297,132.345679778626
"TUR","Rent prices","Index",100,108.666819566659,118.586169070692,130.05039349748,143.192317840384,156.579717171014,172.630291368485,221.225438938728,405.044404736537
"ITA","Rent prices","Index",100,100.300363658635,100.500347784895,100.883642360888,101.158620534495,101.400276353064,101.441948045374,102.591856771369,105.116656365254
"PRT","Rent prices","Index",100,101.70465,102.71635,104.656925,107.970225,110.761675,112.7587,115.786825,121.053224999458
"DEU","Rent prices","Index",100,101.133325,102.53335,104.058325,105.558325,107.04225,108.505175,110.35165,112.599525000023
"CHL","Rent prices","Index",100,104.193431766149,108.260581054398,113.203205189439,118.358779287214,122.388253582056,125.653478010641,130.843952102308,141.477400242662
"MEX","Rent prices","Index",100,102.223337222083,104.73456190818,107.366761579155,110.385311201836,113.176310852962,115.487585564052,118.81696014788,122.873334640811
"AUS","Rent prices","Index",100,100.752062594008,101.39016267377,102.05103775638,102.415712801964,101.458537682318,101.27623765953,103.646337955792,110.528738816292
"USA","Rent prices","Index",100,103.772815565922,107.730991159648,111.627441744116,115.76506736476,119.38146790722,122.061918309287,129.426369413955,139.720295958118
"IRL","Rent prices","Index",100,102.655387831923,106.573238321655,111.248488906061,116.359064544883,117.360264670033,120.538065067258,131.908416488552,153.65664420723
"EST","Rent prices","Index",100,106.4842,114.27955,121.919325,130.68085,125.22175,129.8792,158.571175,159.044324983429
"ESP","Rent prices","Index",100,99.9122774956139,100.322280016114,101.590255079513,103.155455157773,104.332355216618,104.954930247747,106.364480318224,108.55015542771
"HUN","Rent prices","Index",100,105.234264476574,108.437364156264,113.908863609114,124.607562539244,129.936237006377,132.397036760297,146.353085364691,166.511258347062
"NZL","Rent prices","Index",100,102.200747995168,104.482273508511,106.91479905583,109.831124712003,113.450475526357,117.04382633486,122.095352471454,127.433278672577
"DNK","Rent prices","Index",100,101.349880021247,102.958096016649,104.191318258406,105.116241189203,106.107833564768,107.474369698145,109.715857926138,112.732256585052
"RUS","Rent prices","Index",100,102.65135,104.247825,106.17855,107.96985,108.8521,113.397199999377,NA,NA
"COL","Rent prices","Index",100,104.018885401888,108.341960834196,112.259436225944,115.612136561214,117.878861787886,119.578861957886,123.091737309174,130.391288039603
"LTU","Rent prices","Index",100,110.400430679925,110.801555609728,117.192329491342,126.173777919589,129.531452331996,131.879301921122,153.169973195255,168.380270536551
"BGR","Rent prices","Index",100,100.597514937874,101.601706709335,103.520921356367,106.901839212647,109.608573547672,111.421952215472,118.479628657383,128.420710522521
"ROU","Rent prices","Index",100,100.873340611172,102.425020208502,104.937541146176,107.698397486646,110.127584396536,112.925941049509,118.480987341561,130.160251334856
"HRV","Rent prices","Index",100,98.9200089999252,98.6391780068501,101.167490270914,106.090782576812,108.400763326973,108.896592528396,112.355730368914,119.415671538312
"FRA","Price to income ratio","Index",100,99.4581055909689,100.363654703168,100.958082210385,101.445635797292,106.40953257288,109.419298320655,111.363430326957,NA
"NZL","Price to income ratio","Index",100,108.842493195195,111.562398287376,110.284315799629,108.38667072552,112.510672182542,136.142389753563,135.58873709508,NA
"GBR","Price to income ratio","Index",100,105.872977667999,108.510726915058,108.321632799619,106.181115983971,109.735376795178,115.120653496628,120.416963500381,NA
"BEL","Price to income ratio","Index",100,100.142246528377,100.229482743048,100.413454293942,100.85908090516,103.494621918772,107.38549036337,106.273768337506,NA
"JPN","Price to income ratio","Index",100,101.030880967816,102.395560879129,103.08769685146,102.890689524161,98.1316592790623,106.934289354471,113.67006116249,NA
"AUS","Price to income ratio","Index",100,105.114868604474,112.395511504766,107.568876739076,100.505657256108,100.213780655544,113.448467266113,117.87985907372,NA
"GRC","Price to income ratio","Index",100,98.2587767938676,97.0382177508066,97.2407795903542,98.0506733523709,107.961221258838,106.810798773702,110.112949956009,NA
"CHE","Price to income ratio","Index",100,101.369594635649,103.936005467255,105.966395329787,108.575493558821,110.644444469388,118.946830503351,122.343759542385,NA
"LUX","Price to income ratio","Index",100,106.030310283996,106.932001837441,111.921673939365,119.070992228314,129.207276690856,146.931039797621,153.778005926073,NA
"LVA","Price to income ratio","Index",100,101.592126776173,102.258766221491,103.400436813295,106.817776810133,108.224909266015,111.156728408907,113.856427207103,NA
"SVK","Price to income ratio","Index",100,103.568692580608,104.672139711974,102.834394894948,107.33335392506,114.857127434077,116.755054564284,121.378562071512,NA
"RUS","Price to income ratio","Index",100,98.0787196465035,98.0953009123656,100.608991513256,97.7148196082239,NA,NA,NA,NA
"NLD","Price to income ratio","Index",100,102.659811899892,108.483901720582,113.866945368028,117.03876702577,122.144655062238,133.852643705848,140.766038856002,NA
"CZE","Price to income ratio","Index",100,103.702596761337,108.230206458046,110.434327138193,113.495607471266,120.526468993724,134.386617823621,142.013991437779,NA
"ITA","Price to income ratio","Index",100,98.748936561486,95.4987903620353,93.0988093858958,92.1402159494474,95.7898592742011,93.437956540481,91.846016017336,NA
"DEU","Price to income ratio","Index",100,104.725476756361,107.9450462304,110.904326488869,115.118574520835,122.541180033535,133.493033529936,133.281515565085,NA
"SWE","Price to income ratio","Index",100,104.946960567803,109.283265219734,104.727410774966,103.912559393898,108.502076819247,113.45661961664,110.894300458846,NA
"SVN","Price to income ratio","Index",100,98.8333561723238,102.036985935779,104.457553676456,106.452088286026,107.710789786896,111.956288132571,117.541939904377,NA
"NOR","Price to income ratio","Index",100,106.410181909016,108.263569576156,107.026588606286,105.825339145232,108.049247889446,112.476803546403,117.43758343095,NA
"FIN","Price to income ratio","Index",100,99.8038492691747,98.9150269310903,96.965148153985,94.6958434443295,95.656562501085,96.9724306109951,94.7224320843533,NA
"KOR","Price to income ratio","Index",100,99.6480042859201,97.8028358260183,95.540914744747,92.6582755973689,92.3613892135189,96.8871512948893,92.7559206285197,NA
"AUT","Price to income ratio","Index",100,105.46290313906,107.94947600289,109.974742611407,113.957923289466,125.29192466701,136.01327606808,138.249265212328,NA
"HUN","Price to income ratio","Index",100,107.347937634497,109.515572233472,111.621498506805,119.140265595059,121.641649231448,123.837390150744,128.420256351297,NA
"DNK","Price to income ratio","Index",100,100.929231884315,102.623391236312,104.836109609997,104.416539575883,109.645973334526,121.395339016055,110.598839605095,NA
"PRT","Price to income ratio","Index",100,103.080685335567,109.369938777511,115.931212713496,122.080030536454,135.729926726033,141.496145145943,148.152533236211,NA
"CAN","Price to income ratio","Index",100,110.951481270514,119.481586101215,122.128344840649,120.08942492609,120.395233267336,134.057017521157,144.371847006065,136.920347222848
"LTU","Price to income ratio","Index",100,96.6715315710351,99.4418451059511,99.274071061131,96.0147532505326,94.2448907451021,101.490845064809,107.690142919366,NA
"USA","Price to income ratio","Index",100,103.361562936364,105.323997841531,106.436847346322,107.497331701478,107.710506445745,117.137843009997,133.880941506172,NA
"EST","Price to income ratio","Index",100,98.9746462105086,96.3967687150718,92.8992022955152,93.2047162506266,98.9398983713382,104.573870973834,116.562590480544,NA
"IRL","Price to income ratio","Index",100,103.688811980751,108.965036850289,116.74253221228,114.186182946722,108.051660233063,112.055947893665,119.818696387913,NA
"ESP","Price to income ratio","Index",100,102.004120565562,105.173185449507,109.60649003398,110.683729083328,116.368459067207,117.097528759651,120.248160493908,NA
"POL","Price to income ratio","Index",100,96.8275465340418,95.227494877402,96.0664947599464,97.6687926938637,100.031242807146,105.564219227192,102.286425639264,NA
"CHL","Price to income ratio","Index",100,99.2080570507932,105.407749197399,110.517247986384,116.355615059914,108.299568806344,105.852365283693,109.483018308298,NA
"COL","Price to income ratio","Index",100,104.607682602953,105.119340138163,105.682874303443,106.94726004057,111.869117493461,105.001172569941,NA,NA
"BGR","Price to income ratio","Index",100,101.482018789627,102.033404978764,98.8963392699656,96.2667315985968,94.4837519015919,90.5717820657938,82.8227132797205,NA
"ROU","Price to income ratio","Index",100,96.7776726305505,89.1828745384195,85.3594814104673,76.4574444541203,74.7475300481394,71.3153802267164,70.0686539934373,NA
"HRV","Price to income ratio","Index",100,96.5900311230647,95.8538593159807,95.7197134753879,98.5215001488218,104.874516521407,102.120808279282,99.1253154678279,NA
"HUN","Price to rent ratio","Index",100,107.772625024269,117.360817537487,127.730365257971,136.627978467173,137.516540908578,157.107728671127,174.008778791302,NA
"DNK","Price to rent ratio","Index",100,103.333142705531,106.23577490683,109.924763884874,111.813033729813,116.412036593076,128.413035815706,125.235901226234,NA
"PRT","Price to rent ratio","Index",100,105.314385599888,113.916276793828,123.281897180818,131.391911101791,139.330433384806,149.716102137582,164.216536127081,NA
"CHL","Price to rent ratio","Index",100,102.320764294556,106.502029838482,112.033322094067,116.192186821025,119.873690537333,130.561655634411,134.472025104676,NA
"CAN","Price to rent ratio","Index",100,109.258157294866,121.116042111841,124.12189079591,122.605435269822,128.402479275016,144.857853007304,154.085323605588,141.949546435749
"MEX","Price to rent ratio","Index",100,104.956292719488,110.461083298109,117.310363465159,123.878984617876,127.854016182467,135.147585519494,143.046303117394,NA
